Pagina,Tipo_Evasion,Texto_Detectado,Contexto_80chars,Personas_en_Pagina
1911,Fifth Amendment,Fifth Amendment,ndment privilege. THE WITNESS: On the instruction of my lawyer I must invoke my Fifth Amendment privilege. BY MR. KUVIN: Q. All right. Let me show you what weve premarked as P,Jeffrey Epstein; Ghislaine Maxwell; Jean-Luc Brunel
1911,Fifth Amendment,Fifth Amendment,4 25 Page 39 1 personal knowledge and instruct her not to 1 answer based on her Fifth Amendment privilege. l Its also compound. THE WlTNESS: On the instruction ofmy lawyer l m,Jeffrey Epstein; Ghislaine Maxwell; Jean-Luc Brunel
1911,Fifth Amendment,Fifth Amendment,Its also compound. THE WlTNESS: On the instruction ofmy lawyer l must invoke my Fifth Amendment privilege. BY MR. KUVIN: Q . The witness says that you may not have knowledge o,Jeffrey Epstein; Ghislaine Maxwell; Jean-Luc Brunel
1911,Fifth Amendment,Fifth Amendment,"s, and also her knowledge, and I will , instruct her not to answer based on her Fifth Amendment privilege. THE WlTNESS: On the instruction of my lawyer, I must invoke my Fifth",Jeffrey Epstein; Ghislaine Maxwell; Jean-Luc Brunel
1911,Fifth Amendment,Fifth Amendment,"dment privilege. THE WlTNESS: On the instruction of my lawyer, I must invoke my Fifth Amendment privilege. BY MR. KUVIN: Q. Based on the objection, do you know what a manifest",Jeffrey Epstein; Ghislaine Maxwell; Jean-Luc Brunel
1911,Fifth Amendment,Fifth Amendment,of the question as ambiguous and instruct her not to age 40 answer based on her Fifth Amendment privilege. THE WITNESS: On the instruction of my lawyer I must invoke my Fifth,Jeffrey Epstein; Ghislaine Maxwell; Jean-Luc Brunel
1911,Fifth Amendment,Fifth Amendment,ndment privilege. THE WITNESS: On the instruction of my lawyer I must invoke my Fifth Amendment right. BY MR . KUVlN: Q. Have you heard the word manifest before MR. RHEINHART:,Jeffrey Epstein; Ghislaine Maxwell; Jean-Luc Brunel
1911,Fifth Amendment,Fifth Amendment,ifest before MR. RHEINHART: Ill instruct the witness not to answer based on her Fifth Amendment privilege. THE WITNESS: On the instruction of my 1 lawyer l must invoke my Fift,Jeffrey Epstein; Ghislaine Maxwell; Jean-Luc Brunel
1911,Fifth Amendment,Fifth Amendment,"ment privilege. THE WITNESS: On the instruction of my 1 lawyer l must invoke my Fifth Amendment right. BY MR. KUVIN : Q. Would you agree with me, maam, that you have seen this",Jeffrey Epstein; Ghislaine Maxwell; Jean-Luc Brunel
1911,Fifth Amendment,Fifth Amendment,in the past MR. RHEINHART: Ill instruct the witness not to answer based on her Fifth Amendment privilege. THE WITNESS: On the instruction of my lawyer I must invoke my Fifth,Jeffrey Epstein; Ghislaine Maxwell; Jean-Luc Brunel
1911,Fifth Amendment,Fifth Amendment,ndment privilege. THE WITNESS: On the instruction of my lawyer I must invoke my Fifth Amendment right. BY MR. KUVIN: Q. Who is Zinta Broukis MR. RHEINHART: Ill instruct the wi,Jeffrey Epstein; Ghislaine Maxwell; Jean-Luc Brunel
1911,Fifth Amendment,Fifth Amendment,inta Broukis MR. RHEINHART: Ill instruct the witness not to answer based on her Fifth Amendment privilege. THE WlTNESS: On the instruction of my 561 832-7500 PROSE COURT REPOR,Jeffrey Epstein; Ghislaine Maxwell; Jean-Luc Brunel
1912,Objection,objection,"f Mr . Epsteins involvement with the modeling industry MR. RHEINHART : Standing objection, and instruct the witness not to answer based on Fifth Amendment, on that basis",Jeffrey Epstein; Ghislaine Maxwell; Jean-Luc Brunel
1912,Objection,objection,", I must invoke my Fifth Amendment privilege. MR. RHEINHART: And to clarify the objection is that it assumes that shes ever met or knows anything about Jean-Luc Brunel.",Jeffrey Epstein; Ghislaine Maxwell; Jean-Luc Brunel
1912,Objection,objection,"anything regarding your modeling career by Jeffrey Epstein MR. RHEINHART: Same objection, instruct the witness not to answer. THE WITNESS: On the instruction of my lawy",Jeffrey Epstein; Ghislaine Maxwell; Jean-Luc Brunel
1912,Objection,Objection,"angement between Jean-Luc Brunel and Jeffrey Epstein, do you not MR. RHEINHART: Objection. It assumes she has any knowledge of either Mr. Epstein or Mr. Brunel, and as t",Jeffrey Epstein; Ghislaine Maxwell; Jean-Luc Brunel
1912,Objection,Objection,hislaine Maxwell provides underage girls to Mr. Epstein for sex MR . RHEINHART: Objection to the fonn. It assumes she knows anything at all about Ghislaine Maxwell and a,Jeffrey Epstein; Ghislaine Maxwell; Jean-Luc Brunel
1912,Fifth Amendment,Fifth Amendment,"Same instruction. THE WITNESS: On the instruction ofmy lawyer, I must invoke my Fifth Amendment privilege. BY MR. KUVJN: Q. Have you ever worked as a professional model MR. RH",Jeffrey Epstein; Ghislaine Maxwell; Jean-Luc Brunel
1912,Fifth Amendment,Fifth Amendment,"answer the question. Nice try. 19 Instruct you not to answer based on 2 0 your Fifth Amendment privilege. 21 THE WITNESS : On the instruction of my 2 2 lawyer, Im going to in",Jeffrey Epstein; Ghislaine Maxwell; Jean-Luc Brunel
1912,Fifth Amendment,Fifth Amendment,"ge. 21 THE WITNESS : On the instruction of my 2 2 lawyer, Im going to invoke my Fifth Amendment 2 3 privilege. 2 4 MR. KUVIN: Im just trying to find out. 25 Page 98 MR. RHEJNH",Jeffrey Epstein; Ghislaine Maxwell; Jean-Luc Brunel
1912,Fifth Amendment,Fifth Amendment,"id you work for MR . RHEINHART: Instruct the witness not to answer based on the Fifth Amendment privilege. THE WITNESS: On the instruction of my lawyer, I invoke my Fifth Amen",Jeffrey Epstein; Ghislaine Maxwell; Jean-Luc Brunel
1912,Fifth Amendment,Fifth Amendment,"Amendment privilege. THE WITNESS: On the instruction of my lawyer, I invoke my Fifth Amendment privilege. BY MR. KUVIN: Q. What is your wtderstaoding of Mr . Epsteins involve",Jeffrey Epstein; Ghislaine Maxwell; Jean-Luc Brunel
1912,Fifth Amendment,Fifth Amendment,"RHEINHART : Standing objection, and instruct the witness not to answer based on Fifth Amendment, on that basis. THE WITNESS: Upon the instruction of my lawyer, I must invoke m",Jeffrey Epstein; Ghislaine Maxwell; Jean-Luc Brunel
1912,Fifth Amendment,Fifth Amendment,"on that basis. THE WITNESS: Upon the instruction of my lawyer, I must invoke my Fifth Amendment privilege. BY MR. KUVIN: Q. Were you ever promised anything regarding your mode",Jeffrey Epstein; Ghislaine Maxwell; Jean-Luc Brunel
1912,Fifth Amendment,Fifth Amendment,"r by Jean-Luc Brunel MR. RHEINHART: Instruct the witness not to answer based on Fifth Amendment, also 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 Page as",Jeffrey Epstein; Ghislaine Maxwell; Jean-Luc Brunel
1912,Fifth Amendment,Fifth Amendment,"and its compound. THE WITNESS: On the instruction ofmy lawyer, I must invoke my Fifth Amendment privilege. MR. RHEINHART: And to clarify the objection is that it assumes that",Jeffrey Epstein; Ghislaine Maxwell; Jean-Luc Brunel
1912,Fifth Amendment,Fifth Amendment,"s not to answer. THE WITNESS: On the instruction of my lawyer, I must invoke my Fifth Amendment privilege. BY MR. KUVIN: Q. You would agree with me that there is a financial a",Jeffrey Epstein; Ghislaine Maxwell; Jean-Luc Brunel
1912,Fifth Amendment,Fifth Amendment,"of either Mr. Epstein or Mr. Brunel, and as to that she is going to invoke her Fifth Amendment privilege. The question is compound and therefore ambiguous. Page 100 THE WITNE",Jeffrey Epstein; Ghislaine Maxwell; Jean-Luc Brunel
1912,Fifth Amendment,Fifth Amendment,"iguous. Page 100 THE WITNESS: On the instruction of my lawyer, I must invoke my Fifth Amendment privilege. BY MR. KUVIN: Q. Would you agree with me that Ghislaine Maxwell prov",Jeffrey Epstein; Ghislaine Maxwell; Jean-Luc Brunel
1912,Fifth Amendment,Fifth Amendment,"not to answer. THE WITNESS: Upon the instruction of my lawyer, I must invoke my Fifth Amendment privilege. MR. KUVIN: Thats a good point. Take a look at what well mark as Exhi",Jeffrey Epstein; Ghislaine Maxwell; Jean-Luc Brunel
1913,Objection,Objection,"by whom the computers 8 were removed from the El Brillo mansion 9 MR. REINHART: Objection to the form, lack of 10 foundation, and it also assumes knowledge of a 11 place",
1913,Objection,Objection,"nvitedtojustcomeandhang 18 19 out at the El Brillo mansion 19 2 0 MR. REJNHART: Objection to the form, same as 2 0 21 the previous question. It assumes knowledge of a 21",
1913,Fifth Amendment,Fifth Amendment,"mansion. So instruct 12 the witness not to answer the question based on the 13 Fifth Amendment. 14 THE WITNESS: At the instruction ofmy lawyer, 15 l must invoke my Fifth Amen",
1913,Fifth Amendment,Fifth Amendment,"Amendment. 14 THE WITNESS: At the instruction ofmy lawyer, 15 l must invoke my Fifth Amendment right. 16 BY MS. EZELL: 1 7 18 Q. Was Jane No. 103 invitedtojustcomeandhang 18",
1913,Fifth Amendment,Fifth Amendment,7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 Page 446 I must invoke my Fifth Amendment right. BY MS. EZELL: Q. Have you called any girls under the age of 18 in Palm B,
1961,Objection,objection,"was with Epstein and Defendant. B. Requests for Admission Nos. 12 Ms. Giuffres objection to Request for Admission No. 12 is correct pursuant to Rule 36a5, Fed. R. Civ.",Al Gore
1961,Objection,objection,"37.1, Defendant omits the case law that Ms. Giuffre put forth in support of her objection. Case 1:15-cv-07433-LAP Document 1328-18 Filed 010524 Page 34 of 50",Al Gore
1962,Objection,objection,"s scenario is not something that Ms. Giuffre has ever alleged. As stated in the objection, Defendant has interposed and comingled facts which comprise the foundation of",Ghislaine Maxwell; Bill Clinton
1995,Objection,objection,"olution. The Protective Order at 11 provides: If the parties cannot resolve the objection within ten 10 business days after the time the notice is received, it shall be",
1995,Objection,objection,"n May 18, 2016 and it is also undisputed that the parties could not resolve the objection within ten days after notice of the objection was received. Plaintiff did not f",
1995,Objection,objection,the parties could not resolve the objection within ten days after notice of the objection was received. Plaintiff did not file a motion requesting the Court to determine,
2013,Don't know,not sure,"so says that she has a vivid recollection of being kissed by a girl, but she is not sure if it is, and she thinks that she was being held down. People toldiiert.o relax",
2071,Objection,Objection,"Page 33 1 MS. MENNINGER: Objection, leading. 2 BY MS. McCAWLEY: 3 Q. Do you believe that from your 4 observations,",
2071,Objection,Objection,"hether it 8 bothered her that Jeffrey had so many girls around 9 MS. MENNINGER: Objection, leading, 10 hearsay. 11 THE WITNESS: No. Actually, the opposite. 12 BY MS. McC",
2071,Objection,Objection,"a time when 21 Maxwell offered to buy you a camera 22 A. Yes. 23 MS. MENNINGER: Objection, leading. 24 BY MS. McCAWLEY: 25 Q. Did Maxwell ever offer to buy you a MAGNA L",
2072,Objection,Objection,"Page 34 1 camera 2 MS. MENNINGER: Objection, leading. 3 THE WITNESS: Yes. 4 BY MS. McCAWLEY: 5 Q. Was there anything you we",
2072,Objection,Objection,"anything you were supposed to do 6 in order to get the camera 7 MS. MENNINGER: Objection, leading. 8 THE WITNESS: I did not know that there 9 were expectations of me to",
2073,Objection,Objection,"a friend of 12 mine. 13 Q. And what do you recall about that 14 MS. MENNINGER: Objection, hearsay, 15 foundation. 16 THE WITNESS: He wanted to have a friend 17 of mine",
2074,Objection,Objection,"d not finishing the job 20 meaning bringing Jeffrey to orgasm 21 MS. MENNINGER: Objection, leading, form. 22 BY MS. McCAWLEY: 23 Q. Im sorry, Johanna, let me correct tha",
2075,Objection,Objection,"said you hadnt finished the job, with 2 respect to the camera 3 MS. MENNINGER: Objection, leading, form. 4 THE WITNESS: She implied that I had not 5 brought him to orga",
2075,Objection,Objection,"you to perform sexual acts when you were massaging 9 Jeffrey 10 MS. MENNINGER: Objection, leading, form, 11 foundation. 12 THE WITNESS: I can answer 13 Yes, I took that",
2075,Objection,Objection,"ld you a 18 story about sex on the plane. What was that about 19 MS. MENNINGER: Objection, hearsay. 20 THE WITNESS: He told me one time Emmy was 21 sleeping on the plane",
2080,Don't know,not sure,t 20 A Yeah. She said that she did. 21 Q And when did she tell you that 22 A Im not sure on the date. 23 Q And what did she describe having happened 24 A I believe I al,
2081,Objection,Objection,hernreporting.com - 386257-3663 Southern Reporting Company 200 1 MS. MENNINGER: Objection. Form. 2 Foundation. 3 A For Jeffrey. 4 BY MR. EDWARDS: 5 Q All right. Let me f,Ghislaine Maxwell
2081,Objection,Objection,"e living with Virginia, she would 8 ask you what, specifically 9 MS. MENNINGER: Objection. Form. 10 Foundation. 11 A Just if I had found any other girls just 12 to bring",Ghislaine Maxwell
2088,Objection,objection,"pection may serve on the party or attorney designated in the subpoena a written objection to inspecting, copying, testing, or sampling any or all of the materials or to",
2088,Objection,objection,producing electronically stored info1mation in the form or fonns requested. The objection must be served before the earlier of the time specified for compliance or 14 da,
2088,Objection,objection,"the time specified for compliance or 14 days after the subpoena is served. Ifan objection is made, the following rules apply: i At any time, on notice to the commanded p",
2098,Objection,objection,"pection may serve on the party or attorney designated in the subpoena a written objection to inspecting, copying, testing, or sampling any or all of the materials or to",
2098,Objection,objection,producing electronically stored information in the fonn or fonns requested. The objection must be served before the earlier of the time specified for compliance or 14 da,
2098,Objection,objection,"the time specified for compliance or 14 days after the subpoena is served. Ifan objection is made , the following rules apply: i At any time, on notice lo the commanded",
2101,Objection,objection,"pection may serve on the party or attorney designated in the subpoena a wTitten objection to inspecting, copying, testing, or sampling any or all of the materials or to",
2101,Objection,objection,producing electronically stored infonnation in the fo1m or fonns requested. The objection must be served before the earlier of the time specified for compliance or 14 da,
2101,Objection,objection,"he time specified for compliance or 14 days after the subpoena is served. If an objection is made, the following rules apply: i At any time, on notice to the commanded p",
2115,Don't know,not sure,"emented after July 25th, 2006, in 11 the investigative incident report 12 A. Im not sure if it was updated or not. 13 MR. PAGLIUCA: I dont know if we want to 14 mark th",
2130,Don't know,not sure,om the 5 home 6 MS. SCHULTZ: Object to form and 7 foundation. 8 THE WITNESS: Im not sure. Not to my 9 knowledge. 10 BY MS. SCHULTZ: 11 Q. Okay. No one ever came to you,Ghislaine Maxwell
2133,Don't know,not sure,"r cameras, the clock cameras 20 MS. SCHULTZ: Object to form. 21 THE WITNESS: Im not sure if he had the 22 cameras installed or not. I cant recall. 23 BY MR. PAGLIUCA: 2",
2143,Don't know,not sure,t 20 A Yeah. She said that she did. 21 Q And when did she tell you that 22 A Im not sure on the date. 23 Q And what did she describe having happened 24 A I believe I al,
2144,Objection,Objection,hernreporting.com - 386257-3663 Southern Reporting Company 200 1 MS. MENNINGER: Objection. Form. 2 Foundation. 3 A For Jeffrey. 4 BY MR. EDWARDS: 5 Q All right. Let me f,Ghislaine Maxwell
2144,Objection,Objection,"e living with Virginia, she would 8 ask you what, specifically 9 MS. MENNINGER: Objection. Form. 10 Foundation. 11 A Just if I had found any other girls just 12 to bring",Ghislaine Maxwell
2149,Objection,Objection,"Page 33 1 MS. MENNINGER: Objection, leading. 2 BY MS. McCAWLEY: 3 Q. Do you believe that from your 4 observations,",
2149,Objection,Objection,"hether it 8 bothered her that Jeffrey had so many girls around 9 MS. MENNINGER: Objection, leading, 10 hearsay. 11 THE WITNESS: No. Actually, the opposite. 12 BY MS. McC",
2149,Objection,Objection,"a time when 21 Maxwell offered to buy you a camera 22 A. Yes. 23 MS. MENNINGER: Objection, leading. 24 BY MS. McCAWLEY: 25 Q. Did Maxwell ever offer to buy you a MAGNA L",
2150,Objection,Objection,"Page 34 1 camera 2 MS. MENNINGER: Objection, leading. 3 THE WITNESS: Yes. 4 BY MS. McCAWLEY: 5 Q. Was there anything you we",
2150,Objection,Objection,"anything you were supposed to do 6 in order to get the camera 7 MS. MENNINGER: Objection, leading. 8 THE WITNESS: I did not know that there 9 were expectations of me to",
2151,Objection,Objection,"a friend of 12 mine. 13 Q. And what do you recall about that 14 MS. MENNINGER: Objection, hearsay, 15 foundation. 16 THE WITNESS: He wanted to have a friend 17 of mine",
2152,Objection,Objection,"d not finishing the job 20 meaning bringing Jeffrey to orgasm 21 MS. MENNINGER: Objection, leading, form. 22 BY MS. McCAWLEY: 23 Q. Im sorry, Johanna, let me correct tha",
2153,Objection,Objection,"said you hadnt finished the job, with 2 respect to the camera 3 MS. MENNINGER: Objection, leading, form. 4 THE WITNESS: She implied that I had not 5 brought him to orga",
2153,Objection,Objection,"you to perform sexual acts when you were massaging 9 Jeffrey 10 MS. MENNINGER: Objection, leading, form, 11 foundation. 12 THE WITNESS: I can answer 13 Yes, I took that",
2153,Objection,Objection,"ld you a 18 story about sex on the plane. What was that about 19 MS. MENNINGER: Objection, hearsay. 20 THE WITNESS: He told me one time Emmy was 21 sleeping on the plane",
2155,Objection,objection,"l 2 Q. Did you learn whether your 3 perception was correct 4 MR. PAGLIUCA: Same objection. 5 A. It was younger. Yes, I did. 6 Q. How old was this girl 7 A. 15 years old.",Jeffrey Epstein
2161,Objection,objection,58 1 R. Rizzo - Confidential 2 Q. You could tell 3 A. Yes. 4 MR. PAGLIUCA: Same objection. 5 A. She was shaking uncontrollably. 6 Q. What happens with this 15-year-old 7,
2166,Don't know,do not know,"d 3 foundation. 4 THE WITNESS: Himself. Himself. 5 BY MR. EDWARDS: 6 Q. And you do not know the ages of the 7 various massagists, right 8 A. No. 9 Q. Did you have occasion",Jeffrey Epstein; Ghislaine Maxwell
2173,Objection,objection,"rm and 4 foundation. 5 BY MR. EDWARDS: 6 Q. Approximately. 7 MR. PAGLIUCA: Same objection. 8 THE WITNESS: I would say approximately 9 30; 30, 33. 10 BY MR. EDWARDS: 11 Q",
2175,Objection,objection,"o reduce that persons name to an 17 initial at some point 18 MR. PAGLIUCA: Same objection. 19 THE WITNESS: Well, we dont really have a 20 frequent flyer program that we",
2177,Objection,objection,"1 DAVID RODGERS 2 the answer 3 THE REPORTER: Yes. The answer came 4 before the objection. 5 BY MR. EDWARDS: 6 Q. So on the next flight, the next day, from 7 Palm Beach",Jeffrey Epstein; Ghislaine Maxwell
2186,Objection,objection,"ion was on a greater scale than originally known to Ms. Giuffre is not a proper objection, and withholding from discovery Defendants additional defamation constitutes a",
2227,Objection,Objection,"not present when you were 2 giving massages to Jeffrey, correct 3 MS. McCAWLEY: Objection. 4 THE WITNESS: Correct. 5 BY MS. MENNINGER: 6 Q. At some point Jeffrey became",
2227,Objection,Objection,"effrey became more 7 aggressive with you, correct 8 A. Correct. 9 MS. McCAWLEY: Objection. 10 BY MS. MENNINGER: 11 Q. At what point was that 12 A. In the last year. 13 Q",
2228,Objection,Objection,"s were when you were a 14 consenting adult, correct 15 A. Yes. 16 MS. McCAWLEY: Objection. 17 THE WITNESS: Correct. 18 BY MS. MENNINGER: 19 Q. And you did not have knowl",
2228,Objection,Objection,"e with other women behind closed doors and 21 Jeffrey, correct 22 MS. McCAWLEY: Objection. 23 THE WITNESS: Correct. 24 BY MS. MENNINGER: 25 Q. Do you recall giving an in",
2229,Objection,Objection,2 about what they had done with Jeffrey behind closed 23 doors 24 MS. McCAWLEY: Objection. 25 MAGNA LEGAL SERVICES Case 1:15-cv-07433-LAP Document 1328-37 Filed 010524 P,
2232,Objection,Objection,"t 358 El Brillo Way were over the age of 12 18; is that correct 13 MR. EDWARDS: Objection, argumentative, 14 counsel testifying. 15 THE WITNESS: Most of them. 16 BY MR.",
2234,Objection,Objection,"t the spas, and then they 10 would come into Mr. Epsteins after 11 MR. EDWARDS: Objection, speculation. 12 THE WITNESS: I think so. 13 BY MR. PAGLIUSCA: 14 Q. Okay. And",
2269,Fifth Amendment,Fifth Amendment,5 implicated Dershowitz by invoking their Fifth Amendment right against self-incrimination12 when asked questions about Dershowitzs conne,Jeffrey Epstein; Alan Dershowitz
2269,Fifth Amendment,Fifth Amendment,", Ms. Giuffre is entitled to an inference in her favor when a witness takes the Fifth Amendment rather than answer a relevant question where that witness is associated with th",Jeffrey Epstein; Alan Dershowitz
2274,Objection,objection,an Dershowitzs name 10 times from this Courts Order. DE 135 Ms. Giuffre made no objection to Defendants self-serving maneuver to avoid being closely associated with Epst,
2293,Objection,objection,"at 22 is V.R. definite, a hundred percent. 2 3 MR. CRITTON: Let me just note my objection, 2 4 as I did in A . Rods deposition or Mr. Rodriguezs 2 5 Page 46 deposition,",
2295,Don't know,not sure,"g to 15 the house when Prince Andrew was there 16 A. It could have been, but Im not sure. 1 7 Q. Not sure. When Mr. Dershowitz was 18 visiting, -- 19 A . Uh -huh. 20 Q.",Prince Andrew
2295,Don't know,Not sure,"when Prince Andrew was there 16 A. It could have been, but Im not sure. 1 7 Q. Not sure. When Mr. Dershowitz was 18 visiting, -- 19 A . Uh -huh. 20 Q. --how often did",Prince Andrew
2298,Objection,objection,"o -- 24 A. They have people, you know, they have 25 MR. CRITTON: Let me note my objection, move to strike, its based on --his testimony is based on hearsay. BY MR. EDWAR",Jeffrey Epstein; Ghislaine Maxwell; Prince Andrew; David Copperfield
2302,Don't know,not sure,ls would come over to the house BY MR. EDWARDS: 19 while he was there but youre not sure if he had a Q. Okay. Who are the girls from the 20 massage from any of those gi,Alan Dershowitz
2309,Objection,Objection,"he name of Alan Dershowitz at the home of Jeffrey Epstein before MR. RHEINHART: Objection to the form. Standing objection, presumes knowledge of Jeffrey Epstein or his h",Jeffrey Epstein; Alan Dershowitz
2309,Objection,objection,"e home of Jeffrey Epstein before MR. RHEINHART: Objection to the form. Standing objection, presumes knowledge of Jeffrey Epstein or his home. lnstruc-t the witness not t",Jeffrey Epstein; Alan Dershowitz
2309,Objection,Objection,"n in an attempt to have sexual relationships with underage girls MR. RHElNHART: Objection to the fonn as to compound, and also assumes knowledge of Mr. Epstein, a.s;ks f",Jeffrey Epstein; Alan Dershowitz
2309,Objection,objection,"Ojection to the funn in that it assumes knowledge of Jeffrey Epstein. Standing objection a. previously stated with. Mr. Kuvin. nsltuct lhe witness not to anwer, based o",Jeffrey Epstein; Alan Dershowitz
2309,Objection,objection,"ou use the telephone number - at Jeffrey Epsteins direction MR. RHEINHART: Same objection as the 7 Pages 211 to 214 561 832-7500 PROSE COURT REPORTING AG.ENCY, INC. 561",Jeffrey Epstein; Alan Dershowitz
2309,Fifth Amendment,Fifth Amendment,"ot to answer. THE WTNESS: On the instruction ofmy la,,.vyer, l must exercise my Fifth Amendment right. Pa-ge 212 BY MR. KUVlN: Q. Have you ever heard of the El Zorro Ranch Cor",Jeffrey Epstein; Alan Dershowitz
2309,Fifth Amendment,Fifth Amendment,"anch Corporation MR, RHBNlilRT: lnstruot the witness not to answer based on her Fifth Amendment priv:ilege. THE WIThESS: On the instruction of my lawyer f must exercise my Fif",Jeffrey Epstein; Alan Dershowitz
2309,Fifth Amendment,Fifth Amendment,ent priv:ilege. THE WIThESS: On the instruction of my lawyer f must exercise my Fifth Amendment right. BY MR. KUVTN: Q. Have you ever heard of the New York Strategy Group MR.,Jeffrey Epstein; Alan Dershowitz
2309,Fifth Amendment,Fifth Amendment,"9 10 11 12 13 THE WITNESS: On the instruction ofmy 14 lawyer, I must invoke my Fifth Amendment tight. 1 :t 5 BY MR.K.JVlN: 16 f, Q. Have you eve-r heard of the Ghislaine , l",Jeffrey Epstein; Alan Dershowitz
2309,Fifth Amendment,Fifth Amendment,"uction. I 19 THE WITNESS: On the instruction ofmy I 20 lawyer, I must invoke my Fifth Amendment right. 21 BY MR. KlNlN: i 22 Q. Have you ever heard of the Financial Strategy G",Jeffrey Epstein; Alan Dershowitz
2309,Fifth Amendment,Fifth Amendment,"24 j 25 Page 213 THE WITNESS: On the instruction ofmy lawyer, T must invoke my Fifth Amendment right. BYMR. KUVIN: Q. Do you agree that these corporations that I just mention",Jeffrey Epstein; Alan Dershowitz
2309,Fifth Amendment,Fifth Amendment,han one answer to the question. I would instruct her not to answer based on her Fifth Amendment privilege because the question assumes knowledge of Mr. Epstein. THE WITNESS: U,Jeffrey Epstein; Alan Dershowitz
2309,Fifth Amendment,Fifth Amendment,edge of Mr. Epstein. THE WITNESS: Upon instruction ofmy lawyer I must invoke my Fifth Amendment right. MR. KUVIN: l think r am lone. Hang on one second. All right. I appreciat,Jeffrey Epstein; Alan Dershowitz
2309,Fifth Amendment,Fifth Amendment,"t any time between 2001 and2006 A. On the advice ofmy lawyer, T mut exercise my Fifth Amendment right. Q. Did you use the telephone number - between 200 I and 2006 at Jeffrey",Jeffrey Epstein; Alan Dershowitz
2309,Fifth Amendment,Fifth Amendment,"eviously stated with. Mr. Kuvin. nsltuct lhe witness not to anwer, based on her Fifth Amendment right. THE WITNESS: On the instruction of my lawyer, I must e,xercise my Fifth",Jeffrey Epstein; Alan Dershowitz
2309,Fifth Amendment,Fifth Amendment,"ndment right. THE WITNESS: On the instruction of my lawyer, I must e,xercise my Fifth Amendment right. BY lvffi. HOROWITZ: Q. Did you use the telephone number - at Jeffrey Eps",Jeffrey Epstein; Alan Dershowitz
2310,Objection,Objection,"ion from directing others to 14 sexually abuse minor children 15 MR. RHEINHART: Objection to the fonn. 16 THE WITNESS; On the instruction of my l 7 lawyer, 1 must invoke",Jeffrey Epstein; David Copperfield
2310,Objection,Objection,"buse minor children 23 MR. RJ-1EJNIL4RT: That question was asked MR. RHEJNHART: Objection to the form. lt 24 about four hours ago. Tts been asked and ____ 2_5_, ___ ai_s",Jeffrey Epstein; David Copperfield
2310,Objection,objection,"5 MR. RHEINHART: The previous question, j 16 Q. Do you know Nadia Marcinkova 16 objection to the form. The same as all the i 17 MR. KUVIN: Marcinkova. 17 previous qnesti",Jeffrey Epstein; David Copperfield
2310,Objection,Objection,"ins mansion 24 Q. Did Jeffrey Epstein have sexual encounters 25 lv1R RHEINHART: Objection to the fonn. 2 5 with underage people while at that apartment i r,:,,:;r-,j;,7.",Jeffrey Epstein; David Copperfield
2310,Fifth Amendment,Fifth Amendment,"along. 4 Page 317 THE WITNESS: On the instruction ofmy lawyer, I must invoke my Fifth Amendment privilege. BY MR. WEJSSING: t Jc i MS. EZELL: Each young womans case is ari 5 j",Jeffrey Epstein; David Copperfield
2310,Fifth Amendment,Fifth Amendment,"he fonn. 16 THE WITNESS; On the instruction of my l 7 lawyer, 1 must invoke the Fifth Amendment 18 answered about three-and-a-half hours ago. ,l THE WITNESS: On the instructio",Jeffrey Epstein; David Copperfield
2310,Fifth Amendment,Fifth Amendment,"lf hours ago. ,l THE WITNESS: On the instruction ofmy lav.yer, I mm,i invoke my Fifth Amendment privilege. BY MR. WElSSING: Q, Do you knmv David Copperfield MR. RHEINHART: Tha",Jeffrey Epstein; David Copperfield
2310,Fifth Amendment,Fifth Amendment,"a-half-hours ago. THE WITNESS: On the instmction ofmy lawy;:r, I must invoke my Fifth Amendment privilege. BY MR. WEISSING: right. 1.9 Q . In addition to his place at, in Palm",Jeffrey Epstein; David Copperfield
2310,Fifth Amendment,Fifth Amendment,"struction of my 2 THE WITNESS: On the instru;,1.ion of my 2 lawyer, I invoke my Fifth Amendment privilege. 3 lawyer, I must invoke my Fifth Amendment right. 3 BY ivtR. WEISSIN",Jeffrey Epstein; David Copperfield
2310,Fifth Amendment,Fifth Amendment,"my 2 lawyer, I invoke my Fifth Amendment privilege. 3 lawyer, I must invoke my Fifth Amendment right. 3 BY ivtR. WEISSING: .. 1 4 MR. WBISSING: Lets go offtherecord. for 4 Q.",Jeffrey Epstein; David Copperfield
2310,Fifth Amendment,Fifth Amendment,"SS: On the instruction of my J. 9 MR. HOROWITZ: Yes. 9 lawyer, 1 must invoke my Fifth Amendment 10 THE VIDEOGRAPHER: Were nowoffthe 10 privilege. 11 record at4:22 p.m. 11 BY M",Jeffrey Epstein; David Copperfield
2310,Fifth Amendment,Fifth Amendment,"on of my 18 not been established. It cant fairly be 19 lawyer, 1 must invoke my Fifth Amendment 19 armvered. , 2 0 privilege. 20 THE WITNESS: On the instruction of my 1 2 1 BY",Jeffrey Epstein; David Copperfield
2310,Fifth Amendment,Fifth Amendment,"S: On the instruction of my 1 2 1 BY MR . WEISSJNG: 21 lawyer, l must invoke my Fifth Amendment 2 2 Q. Do you know - have you procured minor 22 privilege. i 2 3 children to ha",Jeffrey Epstein; David Copperfield
